"REGISTRO_COMPLEXO";"CEP_COMPLEXO";"lat";"long";"certo"
32390;"Brasil, 04852-320";-23,78125012;-46,6871606;1
32392;"Brasil, 05160-030";-23,4808734;-46,7625549;1
32394;"Brasil, 04962-000";-23,7386729666667;-46,7832843;1
24623;"Brasil, -";-10,3333333;-53,2;1
43525;"Brasil, 95555-000";-29,7371794658537;-50,0068401609756;1
36025;"Brasil, 95555-000";-29,7371794658537;-50,0068401609756;1
52187;"Brasil, 88801-505";-10,2143466;-48,3465976;1
44715;"Brasil, 88960-000";-29,1106484941176;-49,6420856882353;1
32157;"Brasil, 95780-000";-29,6876440195652;-51,4622136282609;1
45890;"Brasil, 95588-000";-29,7901246;-50,04832726;1
21938;"Brasil, 30160-000";-19,91570484;-43,93419035;1
53215;"Brasil, 37800-000";-21,30450181;-46,71187165;1
6623;"Brasil, 37800-000";-21,30450181;-46,71187165;1
6684;"Brasil, 11430-010";-23,9897701;-46,2903474;1
6655;"Brasil, 25804-080";-22,1175343;-43,209434;1
14790;"Brasil, 96400-003";-31,3298435;-54,105067;1
50522;"Brasil, 97300-062";-18,8735539;-50,1507922;1
16523;"Brasil, 75600-000";-18,0148243285714;-49,3640928;1
16521;"Brasil, 75690-000";-17,7506324821429;-48,6196262964286;1
14326;"Brasil, 27260-140";-30,53916145;-52,5243476267173;1
44017;"Brasil, 37130-000";-21,4137232;-45,9698216;1
33426;"Brasil, 68378-329";-9,9412561;-67,855498;1
32481;"Brasil, 12917-021";-22,9762506;-46,5454895;1
52197;"Brasil, 05328-020";-20,234116;-40,2758122;1
41725;"Brasil, 37500-279";-30,553783;-52,5207585954767;1
39675;"Brasil, 37200-000";-21,2355866175824;-44,9950260340659;1
52285;"Brasil, 12612-550";-22,7535232;-45,1059701;1
28466;"Brasil, 68509-140";-30,53916145;-52,5243476267173;1
45032;"Brasil, 75834-042";-28,4330270238095;-65,7665177285714;1
39676;"Brasil, 37950-000";-20,9174881783784;-46,9826661837838;1
39367;"Brasil, 37550-068";2,87417155;-60,714016962727;0
43022;"Brasil, 75903-290";-17,7896616;-50,9199802;1
15124;"Brasil, 13870-110";-27,6712763;-53,8056134770484;1
39368;"Brasil, 13870-110";-27,6712763;-53,8056134770484;1
39366;"Brasil, 37470-000";-22,1174912086957;-45,0563902956522;1
45190;"Brasil, 56903-525";-24,2914592;-53,8317741081018;1
39365;"Brasil, 37410-000";-21,698326095;-45,26442853;1
49884;"Brasil, 29092-910";-24,3041457;-53,8401236597687;1
22446;"Brasil, 48430-000";-10,6884786;-37,8560367;1
57229;"Brasil, 36680-039";-30,80965345;-53,8907410660318;1
43520;"Brasil, 36680-000";-21,5347518980769;-43,0134902711538;1
37638;"Brasil, 78580-000";-9,88400716176471;-56,0992686882353;1
42409;"Brasil, 35170-150";-30,54985925;-52,5203252236328;1
3111;"Brasil, 16020-050";-21,2219985;-50,4360146;1
14826;"Brasil, 78905-450";NA;NA;NA
17778;"Brasil, 35570-000";-20,4660177823529;-45,4344981352941;1
19784;"Brasil, 17580-000";-22,1042939;-50,1837500428571;1
6646;"Brasil, 37410-000";-21,698326095;-45,26442853;1
14009;"Brasil, 37130-000";-21,4137232;-45,9698216;1
23195;"Brasil, 37200-000";-21,2355866175824;-44,9950260340659;1
23125;"Brasil, 37470-000";-22,1174912086957;-45,0563902956522;1
28265;"Brasil, 96020-080";-31,7655851833333;-52,3412450833333;1
17739;"Brasil, 27915-011";-30,80991605;-53,9033387155367;1
37109;"Brasil, 11045-501";-29,1592217;-59,2596994;1
6708;"Brasil, 24220-000";-21,053976;-49,6834459;1
